datetime,sensor_id,raw_value,percent
2025-04-04 18:28:41,1,29.45,29.45
2025-04-04 18:28:43,2,44.26,44.26
2025-04-04 18:28:46,0,66.35,66.35
2025-04-04 18:28:47,1,29.72,29.72
2025-04-04 18:28:49,2,44.28,44.28
2025-04-04 18:28:51,0,66.38,66.38
2025-04-04 18:28:53,1,29.64,29.64
2025-04-04 18:28:55,2,41.62,41.62
2025-04-04 18:28:58,0,66.9,66.90
2025-04-04 18:28:59,1,29.71,29.71
2025-04-04 18:29:01,2,44.71,44.71
2025-04-04 18:29:03,0,66.47,66.47
2025-04-04 18:29:05,1,28.92,28.92
2025-04-04 18:29:07,2,44.99,44.99
2025-04-04 18:29:10,0,65.13,65.13
2025-04-04 18:29:11,1,28.63,28.63
2025-04-04 18:29:13,2,45.02,45.02
2025-04-04 18:29:15,0,64.53,64.53
2025-04-04 18:29:17,1,29.68,29.68
2025-04-04 18:29:19,2,44.89,44.89
2025-04-04 18:29:22,0,66.72,66.72
2025-04-04 18:29:23,1,29.02,29.02
2025-04-04 18:29:25,2,45.12,45.12
2025-04-04 18:29:28,0,58.27,58.27
2025-04-04 18:29:30,1,29.26,29.26
2025-04-04 18:29:32,2,81.08,81.08
2025-04-04 18:29:34,0,28.46,28.46
2025-04-04 18:29:36,1,29.19,29.19
2025-04-04 18:29:38,2,82.37,82.37
2025-04-04 18:29:39,0,31.24,31.24
2025-04-04 18:29:41,1,28.5,28.50
2025-04-04 18:29:44,2,82.64,82.64
2025-04-04 18:29:46,0,33.27,33.27
2025-04-04 18:29:48,1,30.65,30.65
2025-04-04 18:29:50,2,79.93,79.93
2025-04-04 18:29:51,0,35.56,35.56
2025-04-04 18:29:53,1,28.4,28.40
2025-04-04 18:29:56,2,76.64,76.64
2025-04-04 18:29:58,0,29.83,29.83
2025-04-04 18:30:00,1,29.13,29.13
2025-04-04 18:30:02,2,79.81,79.81
2025-04-04 18:30:03,0,35.43,35.43
2025-04-04 18:30:05,1,29.75,29.75
2025-04-04 18:30:08,2,80.43,80.43
2025-04-04 18:30:10,0,37.92,37.92
2025-04-04 18:30:12,1,29.47,29.47
2025-04-04 18:30:14,2,80.1,80.10
2025-04-04 18:30:15,0,40.7,40.70
